Ticker,Company
LUMI.TA,Bank Leumi le-Israel B.M.
POLI.TA,Bank Hapoalim B.M.
ESLT.TA,Elbit Systems Ltd.
TEVA.TA,Teva Pharmaceutical Industries Limited
MZTF.TA,Mizrahi Tefahot Bank Ltd.
DSCT.TA,Israel Discount Bank Limited
NICE.TA,NICE Ltd.
AZRG.TA,Azrieli Group Ltd.
ICL.TA,ICL Group Ltd
NVMI.TA,Nova Ltd.
FIBI.TA,First International Bank of Israel Ltd
PHOE.TA,Phoenix Financial Ltd
NWMD.TA,NewMed Energy - Limited Partnership
ORA.TA,"Ormat Technologies, Inc."
HARL.TA,Harel Insurance Investments & Financial Services Ltd
MLSR.TA,Melisron Ltd.
BEZQ.TA,Bezeq The Israel Telecommunication Corp. Ltd
TSEM.TA,Tower Semiconductor Ltd.
BIG.TA,BIG Shopping Centers Ltd
MMHD.TA,Menora Mivtachim Holdings Ltd
DLEKG.TA,Delek Group Ltd.
CAMT.TA,Camtek Ltd.
NVPT.TA,"Navitas Petroleum, Limited Partnership"
OPCE.TA,OPC Energy Ltd.
STRS.TA,Strauss Group Ltd.
SAE.TA,Shufersal Ltd
CLIS.TA,Clal Insurance Enterprises Holdings Ltd.
SPEN.TA,Shapir Engineering and Industry Ltd
NXSN.TA,"NextVision Stabilized Systems, Ltd."
AMOT.TA,Amot Investments Ltd.
ENLT.TA,Enlight Renewable Energy Ltd
FTAL.TA,Fattal Holdings (1998) Ltd
ILCO.TA,Israel Corporation Ltd
MGDL.TA,Migdal Insurance and Financial Holdings Ltd.
FIBIH.TA,F.I.B.I. Holdings Ltd
MVNE.TA,Mivne Real Estate (K.D) Ltd
ELTR.TA,Electra Limited
ENOG.TA,Energean plc
SKBN.TA,Shikun & Binui Ltd.
ELAL.TA,El Al Israel Airlines Ltd.
ASHG.TA,Ashtrom Group Ltd.
DIMRI.TA,Y.H. Dimri Construction & Development Ltd
AFPR.TA,AFI Properties Ltd.
GVYM.TA,Gav-Yam Lands Corp. Ltd
MTRX.TA,Matrix IT Ltd.
KEN.TA,Kenon Holdings Ltd.
ALHE.TA,Alony-Hetz Properties & Investments Ltd
ARPT.TA,Airport City Ltd.
ENRG.TA,Energix - Renewable Energies Ltd.
PAZ.TA,Paz Retail And Energy Ltd.
ISRA.TA,Isramco Negev 2 Limited Partnership
NYAX.TA,Nayax Ltd.
FORTY.TA,Formula Systems (1985) Ltd.
HLAN.TA,Hilan Ltd.
ONE.TA,One Software Technologies Ltd
AURA.TA,Aura Investments Ltd.
TASE.TA,The Tel-Aviv Stock Exchange Ltd.
SPNS.TA,Sapiens International Corporation N.V.
MGOR.TA,Mega Or Holdings Ltd
RATI.TA,Ratio Energies - Limited Partnership
EQTL.TA,Equital Ltd.
UMH.TA,"UMH Properties, Inc."
MTAV.TA,Meitav Investment House Ltd
ISRO.TA,Isrotel Ltd.
PTNR.TA,Partner Communications Company Ltd.
DELG.TA,Delta Galil Industries Ltd.
BSEN.TA,Bet Shemesh Engines Holdings (1997) Ltd
LAPD.TA,Lapidoth Capital Ltd
ISRS.TA,Isras Investment Company Ltd
RMLI.TA,Rami Levi Chain Stores Hashikma Marketing 2006 Ltd
YHNF.TA,M.Yochananof and Sons (1988) Ltd
CEL.TA,Cellcom Israel Ltd.
FOX.TA,Fox-Wizel Ltd.
BLSR.TA,Blue Square Real Estate Ltd
AZRM.TA,"Azorim-Investment, Development & Construction Co. Ltd"
ISCN.TA,Israel Canada (T.R) Ltd
RIT1.TA,Reit 1 Ltd
ALRPR.TA,Alrov Properties and Lodgings Ltd.
SANO1.TA,Sano Bruno's Enterprises Ltd
SMT.TA,Summit Real Estate Holdings Ltd
DNYA.TA,Danya Cebus Ltd.
TRPZ.TA,Turpaz Industries Ltd
VRDS.TA,Veridis Environment Ltd
VILR.TA,Villar International Ltd.
ELCO.TA,Elco Ltd.
OPK.TA,"OPKO Health, Inc."
NOFR.TA,O.Y. Nofar Energy Ltd
TMRP.TA,Tamar Petroleum Ltd
ISCD.TA,Isracard Ltd.
AFRE.TA,Africa Israel Residences Ltd
ISHI.TA,Israel Shipyards Industries Ltd
ACRO.TA,Kvutzat Acro Ltd
IBI.TA,I.B.I. Investment House Ltd
ELCRE.TA,Electra Real Estate Ltd.
INRM.TA,Inrom Construction Industries Ltd
IDIN.TA,I.D.I. Insurance Company Ltd.
MGIC.TA,Magic Software Enterprises Ltd.
CRSM.TA,Carasso Motors Ltd.
AMRM.TA,Amram Avraham Construction Company Ltd
ISHO.TA,Isras Holdings Ltd
RTLS.TA,Retailors Ltd
DLEA.TA,Delek Automotive Systems Ltd
DORL.TA,Doral Group Renewable Energy Resources Ltd
ORL.TA,Oil Refineries Ltd.
SBEN.TA,Shikun & Binui Energy Ltd
