Ticker,Company
2330.TW,Taiwan Semiconductor Manufacturing Company Limited
2317.TW,"Hon Hai Precision Industry Co., Ltd."
2454.TW,MediaTek Inc.
2881.TW,"Fubon Financial Holding Co., Ltd."
2382.TW,Quanta Computer Inc.
2412.TW,"Chunghwa Telecom Co., Ltd."
2308.TW,"Delta Electronics, Inc."
2882.TW,"Cathay Financial Holding Co., Ltd."
2882B.TW,"Cathay Financial Holding Co., Ltd."
2882A.TW,"Cathay Financial Holding Co., Ltd."
2891.TW,"CTBC Financial Holding Co., Ltd."
3711.TW,"ASE Technology Holding Co., Ltd."
2303.TW,United Microelectronics Corporation
2886.TW,"Mega Financial Holding Co., Ltd."
2884.TW,"E.SUN Financial Holding Company, Ltd."
2357.TW,ASUSTeK Computer Inc.
6669.TW,Wiwynn Corporation
2603.TW,Evergreen Marine Corporation (Taiwan) Ltd.
1216.TW,Uni-President Enterprises Corp.
2885.TW,"Yuanta Financial Holding Co., Ltd."
2892.TW,"First Financial Holding Co., Ltd."
2345.TW,Accton Technology Corporation
5880.TW,"Taiwan Cooperative Financial Holding Co., Ltd."
2880.TW,"Hua Nan Financial Holdings Co., Ltd."
3045.TW,"Taiwan Mobile Co., Ltd."
6505.TW,Formosa Petrochemical Corporation
3231.TW,Wistron Corporation
4904.TW,"Far EasTone Telecommunications Co., Ltd."
3008.TW,"LARGAN Precision Co.,Ltd"
2207.TW,"Hotai Motor Co.,Ltd."
3034.TW,Novatek Microelectronics Corp.
2890.TW,SinoPac Financial Holdings Company Limited
2883.TW,"KGI Financial Holding Co., Ltd."
2383.TW,"Elite Material Co., Ltd."
2002.TW,China Steel Corporation
3017.TW,"Asia Vital Components Co., Ltd."
2379.TW,Realtek Semiconductor Corp.
2395.TW,"Advantech Co., Ltd."
2615.TW,Wan Hai Lines Ltd.
2912.TW,President Chain Store Corporation
2609.TW,Yang Ming Marine Transport Corporation
2301.TW,Lite-On Technology Corporation
2327.TW,Yageo Corporation
3661.TW,"Alchip Technologies, Limited"
5876.TW,"The Shanghai Commercial & Savings Bank, Ltd."
1301.TW,Formosa Plastics Corporation
3653.TW,"Jentech Precision Industrial Co., Ltd"
1303.TW,Nan Ya Plastics Corporation
2887.TW,"Taishin Financial Holding Co., Ltd."
2618.TW,EVA Airways Corp.
2888.TW,"Shin Kong Financial Holding Co., Ltd."
2801.TW,"Chang Hwa Commercial Bank, Ltd."
4938.TW,Pegatron Corporation
5871.TW,Chailease Holding Company Limited
2059.TW,"King Slide Works Co., Ltd."
1101.TW,"TCC Group Holdings Co., Ltd."
2376.TW,"Giga-Byte Technology Co., Ltd."
6919.TW,"Caliway Biopharmaceuticals Co., Ltd."
2408.TW,Nanya Technology Corporation
1402.TW,Far Eastern New Century Corporation
6446.TW,PharmaEssentia Corporation
1590.TW,Airtac International Group
1519.TW,"Fortune Electric Co., Ltd."
