Ticker,Company
MSFT.TO,Microsoft Corporation
NVDA.TO,NVIDIA Corporation
AAPL.TO,Apple Inc.
AMZN.TO,"Amazon.com, Inc."
GOOG.TO,Alphabet Inc.
META.TO,"Meta Platforms, Inc."
BRK.TO,Berkshire Hathaway Inc.
TSLA.TO,"Tesla, Inc."
COST.TO,Costco Wholesale Corporation
COLA.TO,The Coca-Cola Company
CSCO.TO,"Cisco Systems, Inc."
AMD.TO,"Advanced Micro Devices, Inc."
RY.TO,Royal Bank of Canada
SHOP.TO,Shopify Inc.
TD.TO,The Toronto-Dominion Bank
ENB.TO,Enbridge Inc.
BN.TO,Brookfield Corporation
BAM.TO,Brookfield Asset Management Ltd.
TRI.TO,Thomson Reuters Corporation
BMO.TO,Bank of Montreal
CSU.TO,Constellation Software Inc.
CP.TO,Canadian Pacific Kansas City Limited
CNQ.TO,Canadian Natural Resources Limited
BNS.TO,The Bank of Nova Scotia
CM.TO,Canadian Imperial Bank of Commerce
NGT.TO,Newmont Corporation
CNR.TO,Canadian National Railway Company
AEM.TO,Agnico Eagle Mines Limited
MFC.TO,Manulife Financial Corporation
SU.TO,Suncor Energy Inc.
TRP.TO,TC Energy Corporation
ATD.TO,Alimentation Couche-Tard Inc.
L.TO,Loblaw Companies Limited
WCN.TO,"Waste Connections, Inc."
IMO.TO,Imperial Oil Limited
WPM.TO,Wheaton Precious Metals Corp.
IFC.TO,Intact Financial Corporation
NA.TO,National Bank of Canada
DOL.TO,Dollarama Inc.
FFH.TO,Fairfax Financial Holdings Limited
ABX.TO,Barrick Mining Corporation
SLF.TO,Sun Life Financial Inc.
GWO.TO,Great-West Lifeco Inc.
FNV.TO,Franco-Nevada Corporation
NTR.TO,Nutrien Ltd.
CCO.TO,Cameco Corporation
CVE.TO,Cenovus Energy Inc.
WSP.TO,WSP Global Inc.
WN.TO,George Weston Limited
POW.TO,Power Corporation of Canada
T.TO,TELUS Corporation
GIB.A.TO,CGI Inc.
FTS.TO,Fortis Inc.
QSP.UN.TO,Restaurant Brands International Limited Partnership
QSR.TO,Restaurant Brands International Inc.
PPL.TO,Pembina Pipeline Corporation
H.TO,Hydro One Limited
BCE.TO,BCE Inc.
RBA.TO,"RB Global, Inc."
TOU.TO,Tourmaline Oil Corp.
TECK.A.TO,Teck Resources Limited
TECK.B.TO,Teck Resources Limited
K.TO,Kinross Gold Corporation
GFL.TO,GFL Environmental Inc.
BEP.UN.TO,Brookfield Renewable Partners L.P.
MRU.TO,Metro Inc.
CLS.TO,Celestica Inc.
RCI.A.TO,Rogers Communications Inc.
RCI.B.TO,Rogers Communications Inc.
BIP.UN.TO,Brookfield Infrastructure Partners L.P.
BNT.TO,Brookfield Wealth Solutions Ltd.
EMA.TO,Emera Incorporated
ARX.TO,ARC Resources Ltd.
FM.TO,First Quantum Minerals Ltd.
