Ticker,Company
PUR.V,Premier American Uranium Inc.
TOI.V,Topicus.com Inc.
LMN.V,Lumine Group Inc.
PVF.UN.V,Partners Value Investments LP
ARTG.V,Artemis Gold Inc.
SXGC.V,Southern Cross Gold Consolidated Ltd.
SGD.V,Snowline Gold Corp.
AFM.V,Alphamin Resources Corp.
WED.V,The Westaim Corporation
SGML.V,Sigma Lithium Corporation
RBX.V,Robex Resources Inc.
PNG.V,Kraken Robotics Inc.
AMRQ.V,Amaroq Minerals Ltd.
EU.V,enCore Energy Corp.
PBL.V,Pollard Banknote Limited
ATX.V,ATEX Resources Inc.
RML.V,Rusoro Mining Ltd.
RIO.V,Rio2 Limited
DXT.V,Dexterra Group Inc.
LUM.V,Lumina Gold Corp.
IFOS.V,Itafos Inc.
SNM.V,ShaMaran Petroleum Corp.
THX.V,Thor Explorations Ltd.
SLI.V,Standard Lithium Ltd.
NFG.V,New Found Gold Corp.
VMET.V,Versamet Royalties Corporation
PTK.V,POET Technologies Inc.
CEI.V,Coelacanth Energy Inc.
WILD.V,WildBrain Ltd.
FWZ.V,Fireweed Metals Corp.
MTA.V,Metalla Royalty & Streaming Ltd.
ELE.V,Elemental Altus Royalties Corp.
MKO.V,Mako Mining Corp.
ODV.V,Osisko Development Corp.
FDR.V,Founders Metals Inc.
ZDC.V,Zedcor Inc.
LGN.V,Logan Energy Corp.
OGN.V,Orogen Royalties Inc.
DV.V,Dolly Varden Silver Corporation
HIVE.V,HIVE Digital Technologies Ltd.
NICU.V,Magna Mining Inc.
ITR.V,Integra Resources Corp.
EMX.V,EMX Royalty Corporation
SCZ.V,Santacruz Silver Mining Ltd.
SQG.V,Spackman Equities Group Inc.
LUCA.V,Luca Mining Corp.
GRZ.V,Gold Reserve Ltd.
EMO.V,Emerita Resources Corp.
OMG.V,Omai Gold Mines Corp.
GOT.V,Goliath Resources Limited
BRVO.V,Bravo Mining Corp.
ALDE.V,Aldebaran Resources Inc.
SFR.V,Sandfire Resources America Inc.
SUGR.V,Sucro Limited
NCX.V,NorthIsle Copper and Gold Inc.
HSTR.V,Heliostar Metals Ltd.
WRLG.V,West Red Lake Gold Mines Ltd.
REG.V,Regulus Resources Inc.
PNPN.V,Power Metallic Mines Inc.
NGEN.V,NervGen Pharma Corp.
QNC.V,Quantum eMotion Corp.
CAD.V,Colonial Coal International Corp.
SEI.V,Sintana Energy Inc.
GQC.V,Goldquest Mining Corp.
ALV.V,Alvopetro Energy Ltd.
TAU.V,Thesis Gold Inc.
OM.V,Osisko Metals Incorporated
HITI.V,High Tide Inc.
GASX.V,NG Energy International Corp.
TGH.V,Tornado Infrastructure Equipment Ltd.
MAI.V,Minera Alamos Inc.
CDPR.V,Cerro de Pasco Resources Inc.
AAG.V,Aftermath Silver Ltd.
GGA.V,Goldgroup Mining Inc.
SIG.V,Sitka Gold Corp.
CUSN.V,Cornish Metals Inc.
ZEN.V,Zentek Ltd.
HME.V,Hemisphere Energy Corporation
MFG.V,Mayfair Gold Corp.
SASK.V,Atha Energy Corp.
FISH.V,Sailfish Royalty Corp.
NDA.V,Neptune Digital Assets Corp.
AMX.V,Amex Exploration Inc.
CNC.V,Canada Nickel Company Inc.
MJS.V,Majestic Gold Corp.
SLVR.V,Silver Tiger Metals Inc.
LA.V,Los Andes Copper Ltd.
BIG.V,Hercules Metals Corp.
NEXM.V,NexMetals Mining Corp.
TINY.V,Tiny Ltd.
CVV.V,CanAlaska Uranium Ltd.
MOON.V,Blue Moon Metals Inc.
ORC.B.V,Orca Energy Group Inc.
FO.V,Falcon Oil & Gas Ltd.
AHR.V,Amarc Resources Ltd.
MAE.V,Maritime Resources Corp.
RDS.V,Radisson Mining Resources Inc.
BNKR.V,Bunker Hill Mining Corp.
SUP.V,Northern Superior Resources Inc.
HMT.V,Halmont Properties Corporation
VROY.V,Vizsla Royalties Corp.
DGX.V,Digi Power X Inc.
CUU.V,Copper Fox Metals Inc.
DE.V,Decisive Dividend Corporation
DBG.V,Doubleview Gold Corp.
CVW.V,CVW CleanTech Inc.
PML.V,Panoro Minerals Ltd.
TPL.V,Tethys Petroleum Limited
AEC.V,Anfield Energy Inc.
LITH.V,Lithium Chile Inc.
FUU.V,F3 Uranium Corp.
NCAU.V,Newcore Gold Ltd.
TUD.V,Tudor Gold Corp.
MMY.V,Monument Mining Limited
KLD.V,Kenorland Minerals Ltd.
MLP.V,Millennial Potash Corp.
BRC.V,Blackrock Silver Corp.
RX.V,BioSyent Inc.
PWM.V,Power Metals Corp.
SOMA.V,Soma Gold Corp.
HAN.V,Hannan Metals Ltd.
SM.V,Sierra Madre Gold and Silver Ltd.
NEXG.V,NeXGold Mining Corp.
LOVE.V,Cannara Biotech Inc.
MATA.V,Matador Technologies Inc.
LPC.V,Lorne Park Capital Partners Inc.
PKT.V,Parkit Enterprise Inc.
IBAT.V,International Battery Metals Ltd.
GSHR.V,Goldshore Resources Inc.
GSVR.V,Guanajuato Silver Company Ltd.
LGC.V,Lavras Gold Corp.
AXL.V,Arrow Exploration Corp.
CKG.V,Chesapeake Gold Corp.
ARCH.V,Arch Biopartners Inc.
FL.V,Frontier Lithium Inc.
