Ticker,Company
7203.T,Toyota Motor Corporation
8306.T,"Mitsubishi UFJ Financial Group, Inc."
6758.T,Sony Group Corporation
6501.T,"Hitachi, Ltd."
6857.T,Advantest Corporation
4502.T,Takeda Pharmaceutical Company Limited
4568.T,"Daiichi Sankyo Company, Limited"
6503.T,Mitsubishi Electric Corporation
6702.T,Fujitsu Limited
7267.T,"Honda Motor Co., Ltd."
7741.T,HOYA Corporation
3382.T,"Seven & i Holdings Co., Ltd."
9613.T,NTT DATA Group Corporation
6701.T,NEC Corporation
7182.T,"JAPAN POST BANK Co., Ltd."
6902.T,DENSO Corporation
4661.T,"Oriental Land Co., Ltd."
6201.T,Toyota Industries Corporation
8725.T,"MS&AD Insurance Group Holdings, Inc."
8002.T,Marubeni Corporation
6367.T,"Daikin Industries,Ltd."
8053.T,Sumitomo Corporation
5108.T,Bridgestone Corporation
6301.T,Komatsu Ltd.
8630.T,"Sompo Holdings, Inc."
8750.T,"Dai-ichi Life Holdings, Inc."
6178.T,"Japan Post Holdings Co., Ltd."
8267.T,"Aeon Co., Ltd."
6146.T,Disco Corporation
4543.T,Terumo Corporation
8801.T,"Mitsui Fudosan Co., Ltd."
6981.T,"Murata Manufacturing Co., Ltd."
7751.T,Canon Inc.
4901.T,FUJIFILM Holdings Corporation
4689.T,LY Corporation
4578.T,"Otsuka Holdings Co., Ltd."
2802.T,"Ajinomoto Co., Inc."
9020.T,East Japan Railway Company
6752.T,Panasonic Holdings Corporation
6954.T,Fanuc Corporation
8591.T,ORIX Corporation
6723.T,Renesas Electronics Corporation
8802.T,"Mitsubishi Estate Co., Ltd."
4307.T,"Nomura Research Institute, Ltd."
7269.T,Suzuki Motor Corporation
8015.T,Toyota Tsusho Corporation
6594.T,Nidec Corporation
6273.T,SMC Corporation
7832.T,BANDAI NAMCO Holdings Inc.
9022.T,Central Japan Railway Company
1925.T,"Daiwa House Industry Co., Ltd."
4452.T,Kao Corporation
8308.T,"Resona Holdings, Inc."
9766.T,Konami Group Corporation
2502.T,"Asahi Group Holdings, Ltd."
6762.T,TDK Corporation
5401.T,Nippon Steel Corporation
7532.T,Pan Pacific International Holdings Corporation
8830.T,"Sumitomo Realty & Development Co., Ltd."
8604.T,"Nomura Holdings, Inc."
8309.T,"Sumitomo Mitsui Trust Group, Inc."
4612.T,"Nippon Paint Holdings Co., Ltd."
1605.T,Inpex Corporation
4503.T,Astellas Pharma Inc.
4684.T,"OBIC Co.,Ltd."
7013.T,IHI Corporation
6971.T,Kyocera Corporation
7936.T,ASICS Corporation
4091.T,Nippon Sanso Holdings Corporation
3659.T,"NEXON Co., Ltd."
5802.T,"Sumitomo Electric Industries, Ltd."
4716.T,Oracle Corporation Japan
9735.T,"SECOM CO., LTD."
9101.T,Nippon Yusen Kabushiki Kaisha
7733.T,Olympus Corporation
4507.T,"Shionogi & Co., Ltd."
9697.T,"Capcom Co., Ltd."
1928.T,"Sekisui House, Ltd."
5020.T,"ENEOS Holdings, Inc."
8113.T,Unicharm Corporation
5803.T,Fujikura Ltd.
7270.T,Subaru Corporation
9503.T,"The Kansai Electric Power Company, Incorporated"
9435.T,"Hikari Tsushin, Inc."
6326.T,Kubota Corporation
6988.T,Nitto Denko Corporation
7012.T,"Kawasaki Heavy Industries, Ltd."
7453.T,"Ryohin Keikaku Co., Ltd."
1812.T,Kajima Corporation
4755.T,"Rakuten Group, Inc."
8421.T,Shinkin Central Bank
7309.T,Shimano Inc.
9531.T,"Tokyo Gas Co.,Ltd."
8136.T,"Sanrio Company, Ltd."
2503.T,"Kirin Holdings Company, Limited"
9104.T,"Mitsui O.S.K. Lines, Ltd."
8795.T,"T&D Holdings, Inc."
8697.T,"Japan Exchange Group, Inc."
1802.T,Obayashi Corporation
9843.T,"Nitori Holdings Co., Ltd."
8593.T,Mitsubishi HC Capital Inc.
6869.T,Sysmex Corporation
9602.T,"Toho Co., Ltd."
9021.T,West Japan Railway Company
9532.T,"Osaka Gas Co., Ltd."
3402.T,"Toray Industries, Inc."
