Ticker,Company
BRKA.VI,Berkshire Hathaway Inc.
NNN1.VI,Tencent Holdings Limited
NNND.VI,Tencent Holdings Limited
ICK.VI,Industrial and Commercial Bank of China Limited
SAP.VI,SAP SE
SSU.VI,"Samsung Electronics Co., Ltd."
SSUN.VI,"Samsung Electronics Co., Ltd."
EK7.VI,Agricultural Bank of China Limited
RMS.VI,Hermès International Société en commandite par actions
MC.VI,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne"
CNCB.VI,China Construction Bank Corporation
BOCN.VI,Bank of China Limited
PECN.VI,PetroChina Company Limited
RLI.VI,Reliance Industries Limited
AMD.VI,"Advanced Micro Devices, Inc."
SIE.VI,Siemens Aktiengesellschaft
ALV.VI,Allianz SE
AIR.VI,Airbus SE
BY6.VI,BYD Company Limited
PZX.VI,"Ping An Insurance (Group) Company of China, Ltd."
PRX.VI,Prosus N.V.
AI.VI,L'Air Liquide S.A.
CFR.VI,Compagnie Financière Richemont SA
ALTR.VI,"Altria Group, Inc."
INTC.VI,Intel Corporation
MMM.VI,3M Company
FCX.VI,Freeport-McMoRan Inc.
DSV.VI,DSV A/S
SREN.VI,Sempra
P911.VI,Dr. Ing. h.c. F. Porsche AG
UCB.VI,UCB SA
NZYM.VI,Novozymes A/S
DANS.VI,Danske Bank A/S
EBS.VI,Erste Group Bank AG
BAYN.VI,Bayer Aktiengesellschaft
VER.VI,VERBUND AG
KER.VI,Kering SA
GRV.VI,Great Wall Motor Company Limited
HEIO.VI,Heineken Holding N.V.
GRU.VI,Geely Automobile Holdings Limited
FZM.VI,ZTE Corporation
WI4.VI,"Weichai Power Co., Ltd."
LUV.VI,Southwest Airlines Co.
OMV.VI,OMV Aktiengesellschaft
AD2.VI,Air China Limited
AOC.VI,Aluminum Corporation of China Limited
JDEP.VI,JDE Peet's N.V.
ESF.VI,Eurofins Scientific SE
BMED.VI,Banca Mediolanum S.p.A.
PAH3.VI,Porsche Automobil Holding SE
REE.VI,"Redeia Corporación, S.A."
STR.VI,Strabag SE
TIT.VI,Telecom Italia S.p.A.
SOF.VI,Sofina Société Anonyme
GBLB.VI,Groupe Bruxelles Lambert SA
BG.VI,BAWAG Group AG
RBI.VI,Raiffeisen Bank International AG
RENK.VI,RENK Group AG
TKA.VI,Telekom Austria AG
GVC.VI,Entain Plc
AAL.VI,American Airlines Group Inc.
FDJ.VI,FDJ United
ANDR.VI,Andritz AG
IOS.VI,IONOS Group SE
VIG.VI,Vienna Insurance Group AG
OBS.VI,Oberbank AG
FLU.VI,Flughafen Wien Aktiengesellschaft
EVN.VI,EVN AG
VOE.VI,Voestalpine AG
UQA.VI,UNIQA Insurance Group AG
WIE.VI,Wienerberger AG
FNTN.VI,freenet AG
SOLB.VI,Solvay SA
UMI.VI,Umicore SA
WCH.VI,Wacker Chemie AG
SYAB.VI,SYNLAB AG
PROX.VI,Proximus PLC
ACX.VI,"Acerinox, S.A."
BOSS.VI,Hugo Boss AG
CPI.VI,CPI Europe AG
BTS.VI,Bank für Tirol und Vorarlberg AG
CAI.VI,CA Immobilien Anlagen AG
POST.VI,Österreichische Post AG
DOC.VI,DO & CO Aktiengesellschaft
2B5.VI,BAIC Motor Corporation Limited
RHIM.VI,RHI Magnesita N.V.
MMK.VI,Mayr-Melnhof Karton AG
KTN.VI,Kontron AG
PAL.VI,Palfinger AG
DRW3.VI,Drägerwerk AG & Co. KGaA
BFSA.VI,Befesa S.A.
POS.VI,PORR AG
AMAG.VI,AMAG Austria Metall AG
ETS.VI,EuroTeleSites AG
LNZ.VI,Lenzing Aktiengesellschaft
BKS.VI,BKS Bank AG
AGR.VI,AGRANA Beteiligungs-Aktiengesellschaft
P1Z.VI,PATRIZIA SE
FQT.VI,Frequentis AG
ATS.VI,AT & S Austria Technologie & Systemtechnik Aktiengesellschaft
PKTM.VI,PIERER Mobility AG
SBO.VI,Schoeller-Bleckmann Oilfield Equipment Aktiengesellschaft
ROS.VI,Rosenbauer International AG
VLA.VI,Valneva SE
ADKO.VI,Addiko Bank AG
FACC.VI,FACC AG
SEM.VI,Semperit Aktiengesellschaft Holding
BYND.VI,"Beyond Meat, Inc."
BHD.VI,Burgenland Holding Aktiengesellschaft
MAN.VI,Josef Manner & Comp. AG
ZAG.VI,Zumtobel Group AG
ACAG.VI,Austriacard Holdings AG
FKA.VI,Frauenthal Holding AG
UBS.VI,UBM Development AG
KTCG.VI,Kapsch TrafficCom AG
LTH.VI,Linz Textil Holding AG
IRBT.VI,iRobot Corporation
ATH.VI,Athos Immobilien AG
PYT.VI,Polytec Holding AG
WPB.VI,Wiener Privatbank SE
RAT.VI,RATH Aktiengesellschaft
WOLF.VI,Wolftank Group AG
GAGS.VI,Gurktaler Aktiengesellschaft
MARI.VI,Marinomed Biotech AG
WOL.VI,Wolford Aktiengesellschaft
STM.VI,Stadlauer Malzfabrik Aktiengesellschaft
HST.VI,Hutter & Schrantz Stahlbau AG
WXF.VI,Warimpex Finanz- und Beteiligungs AG
SWUT.VI,SW Umwelttechnik Stoiser & Wolschner AG
BIO.VI,Biogena Group Invest AG
HUS.VI,Hutter & Schrantz AG
ROR1.VI,SunMirror AG
MER.VI,Meridiana Capital Markets SE
