Ticker,Company
IGN1L.VL,AB Ignitis grupe
TEL1L.VL,"Telia Lietuva, AB"
ROE1L.VL,AB Artea bankas
LGD1L.VL,Litgrid AB
AKO1L.VL,AB Akola Group
IVL1L.VL,"Invalda INVL, AB"
AMG1L.VL,AB Amber Grid
APG1L.VL,APB Apranga
GRG1L.VL,Grigeo Group AB
VLP1L.VL,AB Vilkyskiu pienine
RSU1L.VL,Rokiskio Suris AB
ZMP1L.VL,AB Zemaitijos pienas
KNE1L.VL,AB KN Energies
PZV1L.VL,AB Pieno Zvaigzdes
KNR1L.VL,AB Kauno Energija
INC1L.VL,INVL Technology UTIB
VBL1L.VL,Vilniaus Baldai AB
INR1L.VL,Special Closed-Ended Type Real Estate Investment Company INVL BALTIC REAL ESTATE
INL1L.VL,AB INVL Baltic Farmland
AUG1L.VL,Auga Group AB
EWA1L.VL,AB East West Agro
PTR1L.VL,PST Group AB
NEOFI.VL,"NEO Finance, AB"
K2LT.VL,AB K2 LT
NTU1L.VL,Novaturas AB
UTR1L.VL,Utenos Trikotazas AB
