Ticker,Company
MSFT.WA,Microsoft Corporation
NVDA.WA,NVIDIA Corporation
AAPL.WA,Apple Inc.
AMZN.WA,"Amazon.com, Inc."
GOGL.WA,Alphabet Inc.
META.WA,"Meta Platforms, Inc."
TSLA.WA,"Tesla, Inc."
JPM.WA,JPMorgan Chase & Co.
VISA.WA,Visa Inc.
NFLX.WA,"Netflix, Inc."
SAP.WA,SAP SE
ASML.WA,ASML Holding N.V.
AMD.WA,"Advanced Micro Devices, Inc."
ITX.WA,"Industria de Diseño Textil, S.A."
ALV.WA,Allianz SE
SAN.WA,"Banco Santander, S.A."
UCG.WA,UniCredit S.p.A.
MBG.WA,Mercedes-Benz Group AG
BMW.WA,Bayerische Motoren Werke Aktiengesellschaft
BAY.WA,Bayer Aktiengesellschaft
CEZ.WA,"CEZ, a. s."
RWE.WA,RWE Aktiengesellschaft
PKN.WA,Orlen S.A.
PKO.WA,Powszechna Kasa Oszczednosci Bank Polski Spólka Akcyjna
JMT.WA,"Jerónimo Martins, SGPS, S.A."
PZU.WA,Powszechny Zaklad Ubezpieczen SA
DNP.WA,Dino Polska S.A.
SPL.WA,Santander Bank Polska S.A.
PEO.WA,Bank Polska Kasa Opieki S.A.
ING.WA,ING Bank Slaski S.A.
ALE.WA,Allegro.eu S.A.
MBK.WA,mBank S.A.
ZAL.WA,Zalando SE
CDR.WA,CD Projekt S.A.
LPP.WA,LPP SA
KRK.WA,"Krka, d. d."
KGH.WA,KGHM Polska Miedz S.A.
PGE.WA,PGE Polska Grupa Energetyczna S.A.
ZAB.WA,Zabka Group S.A.
MOL.WA,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság
MIL.WA,Bank Millennium S.A.
BHW.WA,Bank Handlowy w Warszawie S.A.
BNP.WA,BNP Paribas Bank Polska S.A.
TPE.WA,TAURON Polska Energia S.A.
BDX.WA,Budimex SA
CCC.WA,CCC S.A.
ALR.WA,Alior Bank S.A.
ACP.WA,Asseco Poland S.A.
OPL.WA,Orange Polska S.A.
PCO.WA,Pepco Group N.V.
CPI.WA,CPI Europe AG
ENA.WA,ENEA S.A.
BFT.WA,Benefit Systems S.A.
CPS.WA,Cyfrowy Polsat S.A.
XTB.WA,XTB S.A.
KTY.WA,Grupa Kety S.A.
CAR.WA,Inter Cars S.A.
KRU.WA,KRUK Spólka Akcyjna
DOM.WA,Dom Development S.A.
OPG.WA,CPI FIM SA
DIA.WA,Diagnostyka S.A.
ENG.WA,Energa SA
PEP.WA,Polenergia S.A.
KER.WA,Kernel Holding S.A.
GPP.WA,Grupa Pracuj S.A.
ASE.WA,Asseco South Eastern Europe S.A.
EAT.WA,AmRest Holdings SE
DVL.WA,Develia S.A.
NWG.WA,Newag S.A.
NEU.WA,NEUCA S.A.
1AT.WA,Atal S.A.
ABS.WA,Asseco Business Solutions S.A.
ARH.WA,Archicom S.A.
APR.WA,Auto Partner SA
VRC.WA,Vercom S.A.
JSW.WA,Jastrzebska Spólka Weglowa S.A.
SPH.WA,Sopharma AD
GTC.WA,Globe Trade Centre S.A.
SGN.WA,Sygnity S.A.
CBF.WA,Cyber_Folks S.A.
WPL.WA,Wirtualna Polska Holding S.A.
ATT.WA,Grupa Azoty S.A.
GPW.WA,Gielda Papierów Wartosciowych w Warszawie S.A.
PLW.WA,PlayWay S.A.
MLG.WA,MLP Group S.A.
ECH.WA,Echo Investment S.A.
RBW.WA,Rainbow Tours S.A.
SNT.WA,Synektik Spólka Akcyjna
ABE.WA,AB S.A.
VOX.WA,Voxel S.A.
MUR.WA,Murapol S.A.
MBW.WA,Marie Brizard Wine & Spirits SA
ZEP.WA,ZE PAK SA
AST.WA,Astarta Holding PLC
GEA.WA,Grenevia S.A.
MRB.WA,Mirbud S.A.
SHO.WA,Shoper S.A.
TXT.WA,Text S.A.
BRS.WA,Boryszew S.A.
PCR.WA,PCC Rokita SA
TAR.WA,Tarczynski S.A.
LBW.WA,Lubawa S.A.
MCI.WA,MCI Capital Alternatywna Spólka Inwestycyjna S.A.
STP.WA,Stalprodukt S.A.
MNC.WA,Mennica Polska S.A.
COG.WA,Cognor Holding S.A.
TMR.WA,"Tatry mountain resorts, a.s."
PXM.WA,Polimex-Mostostal S.A.
ASB.WA,ASBISc Enterprises Plc
UNT.WA,Unimot S.A.
CLN.WA,Celon Pharma S.A.
DBC.WA,Tire Company Debica S.A.
PCE.WA,Grupa Azoty Zaklady Chemiczne Police S.A.
EUR.WA,Eurocash S.A.
EHG.WA,Eurohold Bulgaria AD
SKA.WA,Fabryka Farb i Lakierów Sniezka SA
OPN.WA,Oponeo.pl S.A.
HUG.WA,"Huuuge, Inc."
CMP.WA,Comp S.A.
TRK.WA,Trakcja S.A.
ENT.WA,Enter Air S.A.
IMC.WA,IMC S.A.
ZAP.WA,Zaklady Azotowe Pulawy S.A.
