Ticker,Company
140610.KS,Ensol Biosciences Inc.
260870.KS,SK Signet Inc.
217950.KS,"PHARMARESEARCH BIO Co., Ltd."
229500.KS,"NovMetaPharma Co., Ltd."
289860.KS,"GITSN, Inc."
044990.KS,H&S Hightech Corp.
388610.KS,"GFC Life Science Co., Ltd"
296160.KS,"Progen Co., Ltd."
232530.KS,"Energy Material Technology Co., Ltd."
012210.KS,"Sammi Metal Products Co.,Ltd."
180060.KS,"Topsun co., Ltd"
456570.KS,"IMGT Co.,Ltd."
327610.KS,Femtobiomed Inc.
122830.KS,"ONE4U Co.,LTD."
337840.KS,"UXN Co., Ltd."
434190.KS,"Talos Co., Ltd."
257990.KS,"Nowcos Co., Ltd"
250030.KS,"Jincostech Co.,Ltd"
176590.KS,"KONASOL Co., Ltd."
270210.KS,SR biotek Inc.
354390.KS,Baskhanbio Pharma Inc.
162120.KS,"LUKEN Technologies Co., Ltd."
216400.KS,"Invites Biocore Co., Ltd."
206950.KS,Volvik Inc.
217880.KS,"TILON Co.,Ltd."
179720.KS,"MoneyMove Co., Ltd."
076340.KS,"Ga Innodus Co., Ltd."
243870.KS,"Itcencore Co.,Ltd."
222670.KS,"Plumbline Life Sciences, Inc."
200580.KS,"MEDYSSEY Co.,Ltd"
403360.KS,"RAPEECH Co.,Ltd"
191600.KS,"Bluetop Co.,Ltd."
169670.KS,"Kostek Systems, Inc."
322970.KS,"Moogene Medi Co., Ltd."
207490.KS,"APEX INTEC Co.,LTD."
317860.KS,"Nord Mason Co., Ltd."
446440.KS,"Epibiotech Co., Ltd."
302920.KS,"The Contents On Co., Ltd."
233250.KS,Median Diagnostics Inc.
379390.KS,"Ihsung Cni Co., Ltd"
343090.KS,HLB SCIENCE Inc.
149010.KS,"IK Semicon Co.,Ltd"
341170.KS,"Future Medicine Co., Ltd."
336040.KS,"TASCOM Co., Ltd."
331660.KS,Korea Miracle People Company
311060.KS,"LAT Co.,Ltd."
093510.KS,"NGVI, Inc."
086220.KS,"Kwangdong Healthbio Co., Ltd."
052960.KS,"Tae Yang 3C Co., Ltd."
278990.KS,"Emb Co.,Ltd."
351020.KS,"Miju Co., Ltd."
208850.KS,"EB Tech Co., Ltd."
289170.KS,"Bioten Co., Ltd."
223220.KS,"Logis Mon, Inc."
199150.KS,Data Streams Corp.
251280.KS,"Angiolab, Inc."
254160.KS,"JMMULTI Co., Ltd."
279060.KS,INNOVEX Company Limited
233990.KS,"Ha U Dong Chun Co., Ltd."
224760.KS,"NSCompany Co., Ltd."
341310.KS,"E&H Co., Ltd."
390110.KS,Anymedi Inc.
238170.KS,"NSM Co., Ltd."
244880.KS,"NANOOMTECH Co.,Ltd."
447690.KS,"AIOBIO Co., Ltd."
224810.KS,"EOMJIHOUSE Co.,Ltd."
202960.KS,"PANDORA TV Co.,Ltd."
253610.KS,"RootLoc Co., Ltd."
114920.KS,"Daejoo Energy INnovation Technology Co.,Ltd"
258050.KS,"Techtrans co., Ltd"
178600.KS,"Daedong Korea Ginseng Co., Ltd."
185190.KS,"Suppro Co., Ltd."
402420.KS,CALTH. Inc
112190.KS,"KC Industry Co.,Ltd."
116100.KS,"Sun Machinery Co., LTD"
189350.KS,Coset Inc.
238500.KS,"Robo3 Ai co.,Ltd"
311960.KS,"AItheNutrigene Co., Ltd."
199290.KS,Bio Protech Inc.
266870.KS,"Power Fulx Co., Ltd."
234070.KS,"A-One Alform Co., Ltd."
066830.KS,Genotech Corporation
456700.KS,"GILGYO E&C Co., Ltd."
212310.KS,"Organ Eco Tech Co.,Ltd."
092590.KS,"Luxpia Co., Ltd."
448780.KS,"Micro-Nx Co., Ltd."
318660.KS,"TIME Technical Support., ltd."
299480.KS,"G&E Healthcare Co., Ltd."
296520.KS,Gaia Corporation
267080.KS,"Sevenbrau Co.,Ltd."
217910.KS,"SJ-CHEM Co., Ltd."
346010.KS,"Tide Co., Ltd."
276240.KS,"Elivision.co., Ltd"
266470.KS,BioInfra Life Science Inc.
208890.KS,"MiraeN Edupartner Co., Ltd."
086460.KS,Curable. Inc.
103660.KS,"CIAAT Co., Ltd."
236340.KS,MEDIZEN HUMANCARE Inc.
121060.KS,UNIPOINT Corp.
266170.KS,"Redwoods Co.,Ltd"
136660.KS,"QMC Co., Ltd."
413300.KS,"TL Engineering Co., Ltd."
149300.KS,"Apures Co., Ltd."
245450.KS,"CNSLINK Co,. Ltd"
140660.KS,"Wiworld Co., Ltd."
215570.KS,"Cronex.Co.,Ltd"
288490.KS,"NARASOFT Co.,Ltd."
236030.KS,Ssial Food Inc
