Ticker,Company
7485.NQ,"Okaya & Co., Ltd."
9357.NQ,"Meiko Trans Co., Ltd."
6623.NQ,"Aichi Electric Co., Ltd."
1869.NQ,"Meiko Construction Co.,Ltd."
2902.NQ,"Taiyo Kagaku Co.,Ltd."
7675.NQ,"Central Forest Group, Inc."
8228.NQ,"MARUICHI Co.,Ltd."
7488.NQ,Yagami Inc.
9402.NQ,"Chubu-Nippon Broadcasting Co., Ltd."
9359.NQ,"Isewan Terminal Service Co., Ltd."
1777.NQ,"Kawasaki Setsubi Kogyo Co., Ltd."
3504.NQ,"Maruhachi Holdings Co., Ltd."
1892.NQ,Tokura Corporation
8190.NQ,"Yamanaka Co.,Ltd."
2551.NQ,"Marusan-Ai Co., Ltd."
9664.NQ,Misonoza Theatrical Corporation
5607.NQ,"Chuo Malleable Iron Co., Ltd."
7227.NQ,Aska Corporation
5979.NQ,"KANESO Co.,LTD."
9471.NQ,"Bunkeido Co., Ltd."
7950.NQ,"Nihon Decoluxe Co., Ltd."
3066.NQ,"JB Eleven Co., Ltd."
9643.NQ,"Nakanihon KOGYO Co.,Ltd."
9170.NQ,"SEIYU KOGYO Co.,Ltd."
8071.NQ,"Tokai Electronics Co.,Ltd."
3260.NQ,"ESPOIR Co.,Ltd."
6111.NQ,"Asahi-Seiki Manufacturing Co.,Ltd."
8145.NQ,"Chubu Suisan Co.,Ltd."
6142.NQ,Fuji Seiko Limited
5343.NQ,Nikko Company
6655.NQ,Toyo Electric Corporation
7076.NQ,"meinan M&A co.,ltd."
9040.NQ,"Taiho Transportation Co., Ltd."
5836.NQ,"Agent Insurance Group, Inc."
3739.NQ,CommSeed Corporation
3808.NQ,"OKWAVE, Inc."
5075.NQ,Upcon Corporation
2467.NQ,"VLC Holdings Co., Ltd."
6225.NQ,Ecology and Combustion Inc.
3775.NQ,Gaiax Co.Ltd.
3419.NQ,"Artgreen. Co.,Ltd."
5530.NQ,Japan Systembank Corporation
3346.NQ,"HIROTA GROUP HOLDINGS Co.,Ltd."
7870.NQ,"Fukushima Printing Co., Ltd."
1738.NQ,Nittoh Corporation
3442.NQ,"MIE Corporation Co., Ltd"
6025.NQ,"Japan PC Service Co., Ltd."
3384.NQ,"Arkcore, Inc."
3032.NQ,"Golf Do Co., Ltd."
6846.NQ,"Chuo Seisakusho, Ltd."
6439.NQ,"Nakanippon Casting Co., Ltd"
5342.NQ,Janis Ltd.
