Ticker,Company
ZABA.ZG,Zagrebacka banka d.d.
INA.ZG,"INA-Industrija nafte, d.d."
HT.ZG,Hrvatski Telekom d.d.
KODT.ZG,Koncar - distributivni i specijalni transformatori d.d.
KODT2.ZG,Koncar - distributivni i specijalni transformatori d.d.
ADRS.ZG,Adris grupa d. d.
KOEI.ZG,KONCAR - Elektroindustrija d.d.
DDJH.ZG,Ðuro Ðakovic Grupa d.d.
PODR.ZG,Podravka d.d.
CROS.ZG,Croatia osiguranje d.d.
CROS2.ZG,Croatia osiguranje d.d.
JNAF.ZG,Jadranski naftovod d.d.
PLAG.ZG,Plava laguna d.d.
RIVP.ZG,Valamar Riviera d.d.
ATGR.ZG,Atlantic Grupa d.d.
HPB.ZG,Hrvatska postanska banka d.d.
BSQR.ZG,BOSQAR d.d.
ERNT.ZG,Ericsson Nikola Tesla d.d.
DLKV.ZG,Dalekovod d.d.
ARNT.ZG,Arena Hospitality Group d.d.
CKML.ZG,Cakovecki mlinovi d.d.
LRH.ZG,Liburnia Riviera Hoteli d.d.
KRAS.ZG,Kras d.d.
MDKA.ZG,Medika d.d.
AUHR.ZG,Auto Hrvatska d.d.
LKRI.ZG,Luka Rijeka d.d.
SPAN.ZG,Span d.d.
KBZ.ZG,Agram banka d.d.
PDBA.ZG,Podravska banka d.d.
IKBA.ZG,Istarska kreditna banka Umag d.d.
MONP.ZG,Mon Perin d.d.
ILRA.ZG,Ilirija d.d.
VLEN.ZG,Brodogradiliste Viktor Lenac d.d.
LKPC.ZG,Luka Ploce d.d.
SAPN.ZG,Saponia d.d.
ADPL.ZG,AD Plastik d.d.
KTJV.ZG,Kutjevo d.d.
JDGT.ZG,Jadroagent d.d.
INGR.ZG,INGRA d.d.
GRNL.ZG,Granolio d.d.
IGH.ZG,Institut IGH d.d.
TKPR.ZG,Tekstilpromet d.d.
LPLH.ZG,Losinjska Plovidba Holding d.d.
SNBA.ZG,Slatinska Banka d.d.
JDPL.ZG,Jadroplov d.d.
ZB.ZG,Zagrebacka burza d.d.
CTKS.ZG,Cateks d.d.
ULPL.ZG,ALPHA ADRIATIC d.d.
VIS.ZG,Vis D.D.
THNK.ZG,Tehnika D.d
JDTC.ZG,Jadran Tvornica Carapa d.d.
